,queue_length,volume
2024-03-14 16:30:01.093925120-07:00,0.0,0
2024-03-14 16:30:02.093925120-07:00,0.0,0
2024-03-14 16:30:03.093925120-07:00,0.0,0
2024-03-14 16:30:04.093925120-07:00,0.0,0
2024-03-14 16:30:05.093925120-07:00,0.0,0
2024-03-14 16:30:06.093925120-07:00,0.0,0
2024-03-14 16:30:07.093925120-07:00,0.0,0
2024-03-14 16:30:08.093925120-07:00,0.0,0
2024-03-14 16:30:09.093925120-07:00,6.0,0
2024-03-14 16:30:10.093925120-07:00,9.0,0
2024-03-14 16:30:11.093925120-07:00,9.0,0
2024-03-14 16:30:12.093925120-07:00,9.0,0
2024-03-14 16:30:13.093925120-07:00,9.0,0
2024-03-14 16:30:14.093925120-07:00,9.0,0
2024-03-14 16:30:15.093925120-07:00,9.0,0
2024-03-14 16:30:16.093925120-07:00,9.0,0
2024-03-14 16:30:17.093925120-07:00,9.0,0
2024-03-14 16:30:18.093925120-07:00,9.0,0
2024-03-14 16:30:19.093925120-07:00,9.0,0
2024-03-14 16:30:20.093925120-07:00,0.0,0
2024-03-14 16:30:21.093925120-07:00,6.0,0
2024-03-14 16:30:22.093925120-07:00,6.0,0
2024-03-14 16:30:23.093925120-07:00,6.0,0
2024-03-14 16:30:24.093925120-07:00,6.0,0
2024-03-14 16:30:25.093925120-07:00,6.0,0
2024-03-14 16:30:26.093925120-07:00,6.0,0
2024-03-14 16:30:27.093925120-07:00,6.0,0
2024-03-14 16:30:28.093925120-07:00,6.0,0
2024-03-14 16:30:29.093925120-07:00,6.0,0
2024-03-14 16:30:30.093925120-07:00,6.0,0
2024-03-14 16:30:31.093925120-07:00,6.0,0
2024-03-14 16:30:32.093925120-07:00,5.5,0
2024-03-14 16:30:33.093925120-07:00,0.0,0
2024-03-14 16:30:34.093925120-07:00,0.0,0
2024-03-14 16:30:35.093925120-07:00,0.0,0
2024-03-14 16:30:36.093925120-07:00,0.0,0
2024-03-14 16:30:37.093925120-07:00,0.0,0
2024-03-14 16:30:38.093925120-07:00,0.0,0
2024-03-14 16:30:39.093925120-07:00,0.0,0
2024-03-14 16:30:40.093925120-07:00,0.0,0
2024-03-14 16:30:41.093925120-07:00,0.0,0
2024-03-14 16:30:42.093925120-07:00,0.0,0
2024-03-14 16:30:43.093925120-07:00,0.0,0
2024-03-14 16:30:44.093925120-07:00,0.0,0
2024-03-14 16:30:45.093925120-07:00,0.0,0
2024-03-14 16:30:46.093925120-07:00,0.0,0
2024-03-14 16:30:47.093925120-07:00,0.0,0
2024-03-14 16:30:48.093925120-07:00,0.0,0
2024-03-14 16:30:49.093925120-07:00,0.0,0
2024-03-14 16:30:50.093925120-07:00,0.0,0
2024-03-14 16:30:51.093925120-07:00,0.0,0
2024-03-14 16:30:52.093925120-07:00,0.0,0
2024-03-14 16:30:53.093925120-07:00,0.0,0
2024-03-14 16:30:54.093925120-07:00,0.0,0
2024-03-14 16:30:55.093925120-07:00,0.0,0
2024-03-14 16:30:56.093925120-07:00,0.0,0
2024-03-14 16:30:57.093925120-07:00,0.0,0
2024-03-14 16:30:58.093925120-07:00,0.0,0
2024-03-14 16:30:59.093925120-07:00,0.0,0
2024-03-14 16:31:00.093925120-07:00,0.0,0
2024-03-14 16:31:01.093925120-07:00,0.0,0
2024-03-14 16:31:02.093925120-07:00,5.5,0
2024-03-14 16:31:03.093925120-07:00,5.5,0
2024-03-14 16:31:04.093925120-07:00,5.5,0
2024-03-14 16:31:05.093925120-07:00,5.5,0
2024-03-14 16:31:06.093925120-07:00,5.5,0
2024-03-14 16:31:07.093925120-07:00,5.5,0
2024-03-14 16:31:08.093925120-07:00,8.0,0
2024-03-14 16:31:09.093925120-07:00,8.0,0
2024-03-14 16:31:10.093925120-07:00,15.0,0
2024-03-14 16:31:11.093925120-07:00,15.0,0
2024-03-14 16:31:12.093925120-07:00,15.0,0
2024-03-14 16:31:13.093925120-07:00,15.0,0
2024-03-14 16:31:14.093925120-07:00,15.0,0
2024-03-14 16:31:15.093925120-07:00,14.5,0
2024-03-14 16:31:16.093925120-07:00,0.0,0
2024-03-14 16:31:17.093925120-07:00,0.0,0
2024-03-14 16:31:18.093925120-07:00,0.0,1
2024-03-14 16:31:19.093925120-07:00,0.0,0
2024-03-14 16:31:20.093925120-07:00,0.0,0
2024-03-14 16:31:21.093925120-07:00,0.0,0
2024-03-14 16:31:22.093925120-07:00,0.0,1
2024-03-14 16:31:23.093925120-07:00,0.0,0
2024-03-14 16:31:24.093925120-07:00,0.0,0
2024-03-14 16:31:25.093925120-07:00,0.0,1
2024-03-14 16:31:26.093925120-07:00,0.0,0
2024-03-14 16:31:27.093925120-07:00,0.0,0
2024-03-14 16:31:28.093925120-07:00,0.0,0
2024-03-14 16:31:29.093925120-07:00,13.0,0
2024-03-14 16:31:30.093925120-07:00,13.0,0
2024-03-14 16:31:31.093925120-07:00,13.0,0
2024-03-14 16:31:32.093925120-07:00,13.0,0
2024-03-14 16:31:33.093925120-07:00,13.0,0
2024-03-14 16:31:34.093925120-07:00,13.0,0
2024-03-14 16:31:35.093925120-07:00,0.0,0
2024-03-14 16:31:36.093925120-07:00,0.0,1
2024-03-14 16:31:37.093925120-07:00,0.0,0
2024-03-14 16:31:38.093925120-07:00,0.0,0
2024-03-14 16:31:39.093925120-07:00,0.0,1
2024-03-14 16:31:40.093925120-07:00,0.0,0
2024-03-14 16:31:41.093925120-07:00,0.0,0
